explained_variance,serial_timesteps,ep_reward_mean,ep_len_mean,fps,total_timesteps,clipfrac,time_elapsed,true_reward,n_updates,value_loss,approxkl,policy_entropy,policy_loss
0.9795673992484808,73500,4.999230874972927,89.07,8139,7350000,0.08379,997.828200340271,0.021409463,147,0.13088314,0.006742334,2.8075497,-0.008616917
0.9816975351423025,74000,6.206656134078003,109.16,8209,7400000,0.082338,1004.2231340408325,0.026540464,148,0.1313105,0.0067327,2.7838862,-0.009211692
0.9818301275372505,74500,4.658768054714601,77.6,7844,7450000,0.08139,1010.712110042572,0.021816818,149,0.12225409,0.006654744,2.757772,-0.009231554
0.9823906291276217,75000,5.381866492085973,89.72,8208,7500000,0.072872,1017.6697332859039,0.02383658,150,0.1325533,0.006147627,2.731464,-0.008712259
0.9803322646766901,75500,5.134003236207791,97.92,7973,7550000,0.084332,1024.3614718914032,0.026040548,151,0.13527071,0.0067067593,2.7162695,-0.008616723
0.9786574151366949,76000,4.899431639287286,91.4,7789,7600000,0.07696601,1031.2514646053314,0.02146184,152,0.15142456,0.0063020503,2.7116566,-0.009078355
0.9760335311293602,76500,5.24183601149427,82.63,8228,7650000,0.085036,1038.1909730434418,0.018624954,153,0.151726,0.0068440563,2.696977,-0.008677697
0.9776202980428934,77000,4.8605316013837,86.57,8103,7700000,0.082034014,1044.548346042633,0.025550986,154,0.1590267,0.006669688,2.6761868,-0.009617732
0.981486463919282,77500,5.356637884956217,103.33,8084,7750000,0.082478,1051.2834808826447,0.022153066,155,0.12520409,0.006727224,2.648956,-0.009358171
0.9782529156655073,78000,5.382886974219437,123.14,7747,7800000,0.08413799,1058.0674831867218,0.020625865,156,0.13479877,0.0067223418,2.6318984,-0.008837972
0.9803703185170889,78500,4.917728653534941,104.01,7905,7850000,0.089594,1065.0618300437927,0.023171606,157,0.13296787,0.007104556,2.6141882,-0.008889351
0.9796394035220146,79000,4.916485931585194,115.51,7992,7900000,0.08588598,1071.9280326366425,0.02304313,158,0.13741425,0.00686482,2.6016212,-0.009318038
0.9795470535755157,79500,5.566927994091348,120.56,8234,7950000,0.079858005,1078.6506187915802,0.026125647,159,0.13765125,0.0065551163,2.585872,-0.008923337
0.9774289913475513,80000,6.150536111038163,146.97,7999,8000000,0.083468005,1085.220234155655,0.023079446,160,0.15334697,0.0067043556,2.5730338,-0.008983975
0.9786201491951942,80500,6.7672544863459185,187.42,8299,8050000,0.0918,1091.9801487922668,0.0253242,161,0.13159253,0.007219777,2.565603,-0.009698156
0.9796020742505789,81000,7.2749921028463,172.9,7750,8100000,0.08406599,1098.6179239749908,0.028291447,162,0.13441826,0.0068136705,2.5401545,-0.009008221
0.978751465678215,81500,7.498653445844975,228.03,7950,8150000,0.091676004,1105.5087156295776,0.02149845,163,0.11896758,0.0072518988,2.5097802,-0.009732294
0.9769574347883463,82000,8.532744716825292,248.5,8150,8200000,0.08462603,1112.2222259044647,0.026396718,164,0.1258023,0.006874221,2.4876907,-0.009480046
0.9785381983965635,82500,8.83067942678892,214.43,7944,8250000,0.08668201,1118.9543464183807,0.027367227,165,0.12715244,0.0068732123,2.4725015,-0.009528766
0.9779586493968964,83000,8.759003440080596,245.49,7892,8300000,0.089470014,1125.7720727920532,0.026265979,166,0.12545644,0.007135102,2.4549432,-0.009274979
0.9750082269310951,83500,8.156121654227718,229.79,8173,8350000,0.08384,1132.562020778656,0.024840226,167,0.14630632,0.006815864,2.4347064,-0.009448682
0.9793543070554733,84000,10.437660419375497,296.37,8225,8400000,0.09488999,1139.1587083339691,0.027062668,168,0.114894584,0.0074693966,2.407444,-0.009936986
0.9752444159239531,84500,9.28701289989327,283.99,8107,8450000,0.09052601,1145.7164974212646,0.027681163,169,0.121023215,0.007153189,2.3808024,-0.009507716
