n_updates,explained_variance,policy_entropy,total_timesteps,serial_timesteps,ep_len_mean,policy_loss,value_loss,fps,true_reward,clipfrac,ep_reward_mean,time_elapsed,approxkl
2327,0.9920323854312301,-6.7899623,116350000,1163500,9.68,0.0028700326,0.005582049,8280,0.09918681,0.21631198,0.5005988468267606,15343.287013053894,0.01791231
2328,0.9918967476114631,-6.797544,116400000,1164000,9.79,0.0041996003,0.0053962916,8483,0.09906378,0.26122403,0.5252771209669299,15349.966684818268,0.021469353
2329,0.9919248446822166,-6.813707,116450000,1164500,10.01,0.0027906215,0.005522094,8854,0.09908851,0.231694,0.5524986096227076,15356.512271881104,0.019632375
2330,0.9923795075155795,-6.8227925,116500000,1165000,9.49,0.0028360668,0.005167922,8614,0.09917461,0.23062801,0.48385517894930674,15362.583391427994,0.018546436
2331,0.9922200944274664,-6.811781,116550000,1165500,8.57,0.0032581938,0.0052968767,8384,0.09917417,0.259478,0.34116713466035437,15368.978568315506,0.023302013
2332,0.9919719528406858,-6.8086452,116600000,1166000,9.13,0.0031177006,0.0054261386,8463,0.09896225,0.24965198,0.34765596585988534,15375.469426870346,0.020333469
2333,0.9922645161859691,-6.809557,116650000,1166500,6.89,0.0015742908,0.005033871,8087,0.09928321,0.20478398,0.22659357165626715,15381.599663257599,0.01641887
2334,0.9926073057577014,-6.805863,116700000,1167000,9.18,0.0032273764,0.0048081335,8123,0.099166624,0.24202791,0.420359252562921,15388.277106523514,0.021241643
2335,0.991011606529355,-6.79328,116750000,1167500,9.68,0.0023075694,0.006124697,8517,0.0990942,0.24608597,0.4651951223320793,15394.956505298615,0.020462872
2336,0.9915587287396193,-6.7786975,116800000,1168000,9.01,0.0033721356,0.0057169674,8504,0.09914048,0.253578,0.40082413818949136,15401.05955028534,0.022701893
2337,0.9936062400229275,-6.767544,116850000,1168500,7.41,0.004052109,0.0041085593,8500,0.099137425,0.25298995,0.23809685438958694,15407.506478071213,0.02176437
2338,0.991424135863781,-6.7669454,116900000,1169000,10.08,0.0026466325,0.0061548,8059,0.09901853,0.23786198,0.5001101269575884,15413.871885299683,0.018906651
2339,0.9915023921057582,-6.7766423,116950000,1169500,8.85,0.004674513,0.005266947,8372,0.09900792,0.283312,0.3336052324867342,15420.365269184113,0.029030874
2340,0.9908922631293535,-6.784359,117000000,1170000,9.51,0.0031712821,0.005816675,7893,0.09900885,0.26125005,0.40179242494603384,15426.873955965042,0.022346163
2341,0.9920181855559349,-6.7884045,117050000,1170500,7.66,0.002900695,0.005465873,8340,0.09913165,0.23391801,0.296663494456152,15433.675975561142,0.019321205
2342,0.9933040146715939,-6.78665,117100000,1171000,5.74,0.002102658,0.0044498253,8337,0.09901739,0.18927798,0.03770733246434247,15439.921018123627,0.014440133
2343,0.9936654870398343,-6.7720466,117150000,1171500,7.35,0.0036659464,0.004185995,7675,0.09914925,0.23983996,0.1893269067571964,15446.51662659645,0.020801425
2344,0.9928667489439249,-6.7638927,117200000,1172000,7.4,0.0032869426,0.005307657,8386,0.0990518,0.23403801,0.22411585598398232,15453.572007894516,0.019141575
2345,0.9918810585513711,-6.751794,117250000,1172500,8.38,0.00225243,0.0051091053,8141,0.09907187,0.24985403,0.29155303908250063,15460.122375488281,0.021897132
2346,0.9913524407893419,-6.743635,117300000,1173000,10.4,0.0019912242,0.0055000465,8234,0.09882679,0.25151595,0.5346441916248296,15466.831728696823,0.021430776
