true_reward,value_loss,policy_loss,fps,approxkl,ep_reward_mean,n_updates,policy_entropy,explained_variance,time_elapsed,clipfrac,ep_len_mean,serial_timesteps,total_timesteps
0.14940949,0.0012363346,0.0015869264,7589,0.026829753,4.780347961101143,8464,-8.073182,0.9997784515289823,56785.42759513855,0.31049004,49.47,4232000,423200000
0.14846995,0.0012870281,0.003590488,7999,0.031482946,3.943737283855162,8465,-8.071539,0.9997759115067311,56792.4775762558,0.33316588,42.06,4232500,423250000
0.14959237,0.0011249505,0.0013698139,8164,0.026880676,5.196792412537762,8466,-8.067351,0.9998021623323439,56799.239827394485,0.30574992,50.67,4233000,423300000
0.14915146,0.0011643288,0.0007822351,7822,0.027061315,5.091467914223285,8467,-8.060812,0.9998029064736329,56805.69764351845,0.313812,49.13,4233500,423350000
0.15495677,0.0010176668,0.0017287779,8047,0.029029865,5.785181651227894,8468,-8.057844,0.9998317077115644,56812.60926032066,0.32192,51.26,4234000,423400000
0.15231787,0.0011631283,0.00093570823,7939,0.027309012,5.248881975162658,8469,-8.0604315,0.9998103353427723,56819.30813622475,0.312536,50.26,4234500,423450000
0.15096287,0.0010532906,0.0014199044,8340,0.025755204,5.896702291573601,8470,-8.063686,0.9998344244959299,56826.10433793068,0.30044806,52.3,4235000,423500000
0.15143073,0.0011354599,0.0016207764,7968,0.026631735,6.098251911844409,8471,-8.05824,0.9998070119618205,56832.61033082008,0.30603603,52.95,4235500,423550000
0.1497581,0.0011362112,-0.0001731705,8164,0.027454248,4.711133288745714,8472,-8.051238,0.9998093972244533,56839.48867201805,0.311034,45.72,4236000,423600000
0.14629196,0.001162502,0.0032972319,8020,0.02853168,4.583199079451914,8473,-8.052797,0.999786192594911,56846.00305509567,0.31714,46.49,4236500,423650000
0.1527476,0.0011668749,0.002085225,8447,0.02648063,4.1184304395672005,8474,-8.055689,0.9997957700834377,56852.70368599892,0.30487198,43.2,4237000,423700000
0.14884697,0.0012873092,0.0027216142,8185,0.030148935,5.877969636981325,8475,-8.053654,0.9997910380770918,56859.18196988106,0.32668,53.3,4237500,423750000
0.14819938,0.0013161437,0.00060074555,8070,0.026363298,4.662283671064087,8476,-8.046915,0.9997715857025469,56865.79126191139,0.30479592,44.1,4238000,423800000
